accession_number	short_title	description	fabric
2008.7.69	fragment	Exterior: 10 narrowly-spaced parallel horizontal lines overpainted in brown.  below this 9 small circular grey dots in a horizontal band with a zig-zag pattern below in brown.	 
2008.7.7	fragment	Black glaze with inscribed semi-circle pattern motif mixed with red dots and lines	 
2008.7.70	fragment	Interior: reddish-brown wash. Exterior: rectangles overpainted in reddish-brown forming checked pattern at one end, with 2 thin lines running parallel above, next to a band containing a diamond-shaped pattern overpainted in same colour.	 
2008.7.71	fragment	Exterior: horizontal pattern of 11 narrowly-spaced parallel zig-zags overpainted in brown.	 
2008.7.72	fragment	Exterior: 10 thin, narrowly-spaced, parallel, horizontal lines overpainted in brown.	 
2008.7.73	fragment	Interior: black overpaint; exterior: two horizontal parallel black overpaint lines across centre of fragment with three spots of black overpaint in between them, either side of the parallel lines are small parellel lines of black overpainted dots	 
2008.7.74	fragment	Interior: black overpaint; exterior: thick black overpainted line with a parallel thin black overpainted line on the end with the slight vertical curvature	 
2008.7.75	fragment, possibly base, possibly lid	Overpaint on entire fragment	 
2008.7.76	fragment	Interior: black overpaint on entire side of fragment; exterior: across centre of fragment a set of five parallel horizontal overpainted lines, the central line is slightly thicker and a dark red\\/brown, the adjacent lines are a lighter red\\/brown colour	 
2008.7.77	fragment	Exterior: Thin, narrowly-spaced, horizontal parallel lines overpainted in light brown.	 
2008.7.78	fragment	Interior: greyish-black wash. Exterior: Parallel lines overpainted. Thick strip of dark-red colour in middle. One thin stripe of a geyish-black colour either side and one thicker greyish-black stripe either side of these.	 
2008.7.79	fragment	Exterior: Greyish-black wash, semi-circular marks suggesting base fragment.	 
2008.7.8	fragment	Wide bands of brown glaze	 
2008.7.80	fragment	Interior: black overpaint; exterior: along one side of fragment are parallel black lines of overpaint with a spot of black overpaint between them in the centre, on one side of the parallel lines is a parallel line of overpainted black dots	 
2008.7.81	fragment	Interior: Reddish-brown wash, grey parallel horizontal stripes overpainted. Exterior: Cream wash, Reddish-brown parallel horizontal stripes of varying thicknesses overpainted, 2 thick and 3 thin towards one end and one thin at other. Line of small dots of same colour parallel to this.	 
2008.7.82	fragment	Interior: Greyish-black wash. Exterior: Cream wash. Fairly thick parallel horizontal bands towards one end overpainted in Reddish-brown and grey. Below this, the tips of horizontal triangular shapes overpainted in grey forming zig-zag pattern.	 
2008.7.83	fragment	Interior: very small traces of greyish-brown wash, especially towrds rim.	 
2008.7.84	fragment	Interior(and rim): black wash.	 
2008.7.85	fragment	Interior: black wash. Exterior: black wash with thick, horizontal, parallel stripes overpainted. One dark red, with a thinner cream stripe parallel above and below.	 
2008.7.86	fragment	Interior: cream wash with stripe of grey overpainted towards one end. Exterior: Cream wash with two widely-spaced parallel bands overpainted in greyish-black. Traces of another diagonal line of a similar colour and thickness joining these.	 
2008.7.87	fragment	Interior: greyish-black wash. Exterior: cream wash with horizontal parallel lines overpainted in brownish-red. 1 thick and 2 thin lines towards top. Curved pattern overpainted below in same colour.	 
2008.7.88	fragment	Interior: greyish-black wash. Exterior: Traces of cream wash with thin vertical light grey stripes overpainted above and below lip.	 
2008.7.89	fragment	Interior and top of rim: greyish-black wash. Exterior: traces of reddish-brown colour overpainted.	 
2008.7.9	fragment	Black glaze on interior and exterior	 
2008.7.90	fragment	Interior and exterior: greyish- black wash.	 
2008.7.91	fragment	Interior and exterior: greyish-black wash.	 
2008.7.92	fragment	Interior and exterior: greyish-black wash.	 
2008.7.93	fragment	Interior and exterior: greyish-black wash.	 
2008.7.94	fragment	Interior and exterior: greyish-black wash.	 
2008.7.95	fragment	Interior and exterior: greyish-black wash.	 
2008.7.96	fragment	Interior and exterior: greyish-black wash.	 
2008.7.97	fragment	Exterior: black wash. 4 narrowly-spaced horizontal lines engraved along one edge revealing unfinished terracotta beneath.	 
2008.7.98	fragment	Interior and exterior: black wash.	 
2008.7.99	fragment	Exterior: traces of black wash running along one edge.	 
2008.8.2	fragment	Exterior: Greyish-black overpainting depicting 2 standing birds with curved necks. The bird on the right has wings spread and short horizontal lines on the wing and tail suggesting feathers. There is a reddish stripe overpainted across the body and across the tail. The bird on the left is cut off half-way across the body, but the same red body stripe and feather markings are present. Above the birds is a semicircle of thin bulb-shaped parallel vertical lines and around the birds are several circles of varying sizes.	 
2008.9.1	fragment	Interior: brownish wash with a wide band of brownish-grey along 3 of the fragment\\'s edges. Exterior: Black wash with white lines etched depicting an image. 2 leg-like shapes at right-angle to curved edge, joining onto curved lines possibly outling a body.	 
2008.9.10	plaster cast	Relief image of Odysseus strapped to the mast of his ship while his crew steer and row. Winged harpies sing to him.	 
2008.9.111	model	 	 
2008.9.112	model	 	 
2008.9.113	model	 	 
2008.9.114	model	 	 
2008.9.115	model	 	 
2008.9.116	model	 	 
2008.9.117	model	 	 
2008.9.118a	model	 	 
2008.9.118b	model	 	 
2008.9.118c	model	 	 
2008.9.12	fragment	Interior: greyish-black wash. Exterior: 1 fairly thick, slightly uneven, horizontal line overpainted in black accross centre of fragment, parallel to edges. Diagonally from this, above and below are shorter teardrop-shaped marks - 7 above and 9 below - forming a horizontal band, and greating a stem and leaf-like effect.	 
2008.9.13	fragment	Interior: greyish-black wash. Exterior: wide greyish-black band overpainted, taking up roughly half the exterior. Above this is a narrower parallel strip of unfinished terracotta containing 14 small dots in a horizontal line towards the top if it. And above this, half of another parallel band overpainted in greyish-black is present.	 
2008.9.14	fragment	Interior: greyish-black wash. Exterior: one horizontal line overpainted in brownish-black along longest edge of fragment. Underneath this are 4 solid figure-eight marks, forming a parallel line, overpainted in the same colour.	 
2008.9.15	fragment	Interior: greyish-black wash with a band of unfinished terracotta running parallel to longest edge of fragment. Several narrowly and irregularly spaced parallel horizontal lines overpainted on the wash and unfinished section. Exterior: greyish-black wash overpainted, covering roughly half of exterior of fragment. Next to this is a band of unfinished terracotta bordered above and below by parallel lines overpained in a brownish-red colour.	 
2008.9.16	fragment	Interior: greyish-black streaked wash. Exterior: horizontal line overpainted in greyish-black. Underneath is a semi-circular line with a solid circle attached to its interior and a small diamond-shape underneath this. there is another curved line along the left-hand edge.	 
2008.9.17	fragment	Interior: brownish-red wash with a narrow band of unfinished terracotta parallel to one edge of the fragment with a thin parallel line of a darker red within this. Exterior: 2 widely spaced horizontal parallel lines overpainted in redish-brown.	 
2008.9.18	fragment	Interior: traces of a pinkish wash. 1 short diagonal line overpainted in brown remains. Exterior: narrow horizontal raised lip across longest edge of fragment with a narrow parallel line overpainted in brown below this. Several narrow vertical parallel lines join onto this  and there are traces of a redish-brown wash.	 
2008.9.19	fragment	Exterior: 5 parallel horizontal lines of differing thicknesses are overpainted accross one corner of the fragment. The bottom three are narrower and overpained in brownish-grey, above these is a pinkish-red wider line and above this another greyish-brown line.	 
2008.9.20	fragment	Interior: greyish-black wash fading to a reddish-brown colour, leaving a small section of unfinished terracotta across one corner of fragment. Exterior: greyish-black wash with a narrow band of unfinished terracotta parallel to one edge, with 7 small dots overpainted in the same greayish black colour within it.	 
2008.9.21	fragment	Interior: greyish-black wash. Exterior: several narrow parallel horizontal bands overpainted in a pinkish-red and greyish-brown across fragment, interspersed by a band of unfinished terracotta and another similar band above.	 
2008.9.22	fragment	Interior: reddish-black wash with a narrow strip of unfinished terracotta across longest edge. Same colour overpainted in the top of the rim. Exterior: 1 thick horizontal band overpainted in a reddish-black colour just underneath the rim.The space below this is left unfinished.	 
2008.9.23	fragment	Interior: reddish-black wash. Exterior: redish-black wash with a raised lip of unfinished terracotta along one edge, containing three fairly thick diagonal brush-stroke marks overpainted in a redish-black colour.	 
2008.9.24	fragment	Interior: greyish-black wash, top of rim overpainted in same greyish-black colour. Exterior: Greyish black wash, interspersed by 2 horizontal bands of unfinished terracotta, the lower band wider than the upper. The lower band has 7 smaller dots overpainted within it.	 
2008.9.25	fragment	Exterior: 1 fairly wide curved raised ridge running across centre of fragment. 5 short vertical lines overpainted in a pinkish-colour faintly visible upon this ridge. A small patch of brownish-grey remains below.	 
2008.9.26	fragment	Interior: greyish-black wash. Exterior: 3 thin narrowly-spaced lines run parallel to one of the edges of the fragment. The upper of these is overpainted in a greayish-black colour, the 2 lower are a redish-brown. Below these lines are three greyish-black dots interspersed by vertical thick greyish black and thinner redish-brown lines.	 
2008.9.27	fragment	Interior: greyish-black wash. Exterior: 2 curved narrow parralel lines run along one edge of fragment, the upper overpainted in greyish-black and the lower in brown. Below these are 3 solid crescent shapes overpainted in greyish-black.	 
2008.9.28	fragment	Interior: greyish-black wash covers half of the interior, the other half is left unfinished. Exterior: A wide pinkish-red strip is overpainted across the centre of the exterior. Above this is the remains of a parallel greyish-black line with 4 greyish black vertical lines attached to it. Below are 2 unfinshed circles, bordered by a greyish-black outline.	 
2008.9.3	fragment	Exterior: back half of a quadraped animal is painted black with ribs, muscles, and tail inscribed on the object but unpainted. Animal is standing on a thin black line, below which is a thick black line. One other thin black line above the animal, and various round black decorations underneath the animal but above the black line base.	 
2008.9.34	fragment	Edge of rim is molded into a bluntly serrated pattern.	 
2008.9.35	fragment	Black glaze throughout	 
2008.9.4	fragment	Exterior: 2 front legs of an animal, joining onto a body is overpainted in greysh-black. 5 short vertical lines are etched across the body and a few other etched lines define the back legs and chest of the animal. 2 back legs and a tail are partially present. A thick horizontal band and below a thinner band run parallel to the bottom-edge of the fragment. The animal appears to be standing on the thinner band, and there are 2 circle between the front and back legs, and two circles to the right of it.	 
2008.9.49	fragment	Black glaze throughout	 
2008.9.5	fragment	 	 
2008.9.51	fragment	Black glaze throughout.	 
2008.9.6	fragment	 	 
2008.9.7	fragment	Exterior: Three parallel horizontal curved lines overpainted in reddish-brown. 2 of them narrowly-spaced and 1 further apart.	 
2008.9.8	fragment	 	 
2008.9.9	fragment	Interior: reddish-brown wash. Exterior: reddish-brown wash. One half of fragment forms a horizontal raised lip with 2 vertical narrow ridges within this at 90 degrees.	 
2009.10.1.1	gem cast	Small boys with wings (cupids), some of them flying around, holding up a large horn. \\nCast number - 948	 
2009.10.1.10	gem cast	Shows the image of Goddess Hera sitting down offering water to Zeus as an eagle.\\nCast Number - 957	 
2009.10.1.11	gem cast	Shows the image of a man sitting underneath an arch.	 
2009.10.1.12	gem cast	Image of Zeus sitting with sceptre in right hand.\\nCast Number - 959	 
2009.10.1.13	gem cast	Image of five men riding horses from the right side.\\nCast Number - 960	 
2009.10.1.14	gem cast	Profile view of a male head, appears to be the Sun God Apollo.\\nCast Number - 961	 
2009.10.1.15	gem cast	Male figure holding a dagger, with a horse rearing away from him on either side. Another horse is lying on the floor and appears dead.\\nCast Number - 962	 
2009.10.1.16	gem cast	Male figure with a child holding his hand on the left and another child being held up behind him. \\nCast Number - 963	 
2009.10.1.17	gem cast	Female figure, surrounded by a border of corn. Appears to be the Goddess of agriculture.\\nCast Number - 964	 
2009.10.1.18	gem cast	Left side view of a goose.	 
2009.10.1.2	gem cast	Right side view of a deer.\\nCast Number - 949	 
2009.10.1.3	gem cast	Shows an image of weighing scales.\\nCast Number - 950	 
2009.10.1.4	gem cast	Left side view of galloping horse and male figure with spear.\\nCast Number - 951	 
2009.10.1.5	gem cast	Oblique angle to the left of bearded male figure, wearing a helmet.\\nCast Numbers - 952	 
2009.10.1.6	gem cast	Right profile view of an eagle, accompanied by an inscription.\\nCast Number - 953	 
2009.10.1.7	gem cast	Right side profile view of a male with a beard and bald on the top of the head.\\nCast Number - 954	 
2009.10.1.8	gem cast	Small winged boy (cupid). He is holding on to an object floating in the wind. The cupid is sitting on an object which appears to be floating on the water.\\nCast Number - 955	 
2009.10.1.9	gem cast	Front view of a figure commanding ten horses, which appears through a window.\\nCast Number - 956	 
2009.10.189	gem casts	Bust of laughing man, probably Silenus.	 
2009.10.2 53	gem cast	Man sitting on barrell, taking off weath and handing it to a bird, a peacock or pheonix.\\nNumber 53.	 
2009.10.2. 198	gem cast	Three quarter profile  to the right of a woman with a man standing behind her, he is holding a spear. \\nNumber 70.	 
2009.10.2. 49	gem cast	Portrait of a man with a beard wearing a hood. \\nNumber 49.	 
2009.10.2. 55	gem cast	Figure of a man with staff and other object in left hand, a large bird. some greek letters.\\nNumber 55	 
2009.10.2.1	gem cast	Man holding a sword, seems to be an animal sacrifice (cow). \\nnumber 1	 
2009.10.2.10	gem cast	Figure of a man with wings and a beard, lying down with a cloth draped over his legs, holding and looking at a sword, with an open book next to him. \\n\\nNumber 10.	 
2009.10.2.100	gem cast	It depicts a bird sitting on a horn-like instrument.\\nGem cast number - 32	 
2009.10.2.101	gem cast	Five figures of women holding hands in a circle.\\nNumber 33	 
2009.10.2.102	gem cast	A winged man pictures with three horses.\\nNumber 34.	 
2009.10.2.103	gem cast	Two figures a man and a woman, she is holding a length of cloth. \\nNumber 35.	 
2009.10.2.104	gem cast	Figure of a woman riding a chariot drawn by two horses.\\nNumber 36.	 
2009.10.2.105	gem cast	Portrait of two women in profile, one in front of the other.\\nNumber 37.	 
2009.10.2.106	gem cast	Figure leaning on a harp, in the background another very small figure stands on a podium holding a sceptre, with star above head. \\nNumber 38.	 
2009.10.2.107	gem cast	Portrait of a woman in profile, turning to the right. Her hair is tied back. \\nNumber 39.	 
2009.10.2.108	gem cast	Portrait of a woman in profile turning to the left, with a quiver across her back. \\nNumber 40	 
2009.10.2.109	gem cast	portrait of a woman in profile turning to the right, with a quiver across her back, hair tied back.\\nNumber 41.	 
2009.10.2.11	gem cast	figure of a man with wings and a beard squatting over another man who is crouching down dangling a club from his hand. \\nNumber 11	 
2009.10.2.110	gem cast	portrait of a woman in profile turned to the right, with a quiver across her back. wearing headband. \\nNumber 42.	 
2009.10.2.111	gem cast	Artemis sitting with bow and arrow. \\nNumber 43.	 
2009.10.2.112	gem cast	Artemis sitting with a deer.\\nNumber 44.	 
2009.10.2.113	gem cast	Figure of Artemis standing with a deer. \\nNumber 45.	 
2009.10.2.114	gem cast	Figure of Artemis, standing with a deer. \\nNumber 46.	 
2009.10.2.115	gem cast	Artemisn seated, holding a spear a deer in the background.\\nNumber 47.	 
2009.10.2.116	gem cast	Artemis pictured hunting a deer with bow and arrow. \\nNumber 48.	 
2009.10.2.117	gem cast	Artemis pictured standing next to a pillar. Very small inscription. \\nNumber 49.	 
2009.10.2.118	gem cast	A dog.	 
2009.10.2.119	gem cast	A collection of figures, a bearded man sitting under a tree, watching a centaur  dancing with a woman, two cupids surround them. \\nNumber 51.	 
2009.10.2.12	gem cast	Figure of a man with a beard walking, holding a wreath in his left hand and pointing to it with his right.	 
2009.10.2.120	gem cast	figure of Diana of Ephesus. Appears to be twirling cloth. \\nNumber 52	 
2009.10.2.121	gem cast	Figures of three women pictured standing together, two facing outwards and on to the front. They are all holding two daggers with blood dripping from them. \\nNumber 53.	 
2009.10.2.122	gem cast	figure of Goddess Diana of Ephesus.\\nNumber 54.	 
2009.10.2.123	gem cast	Figure of Diana of Ephesus. Pictured holding two forks, with two animals standing behind. \\nNumber 55.	 
2009.10.2.124	gem cast	Diana of Ephesus pictured holding aminals on each arm, including a cat, a boar and horses are behind her. \\nNumber 56.	 
2009.10.2.125	gem cast	Diana of Ephesus pictured with some dogs.\\nNumber 57.	 
2009.10.2.126	gem cast	Diana of Ephesus pictured in a temple.\\nNumber 58.	 
2009.10.2.127	gem cast	Figure of a man holding a stick over his shoulder. Two dogs are at his feet. \\nNumber 59.	 
2009.10.2.128	gem cast	Figure of a naked man holding a cloth behind him. Moon symbol in the bottom corner. \\nNumber 60.	 
2009.10.2.129	gem cast	portrait of woman in profile, wearing a headband.\\nNumber 1	 
2009.10.2.13	gem cast	figure of a man walking, holding a sickle in his right hand and holding a cloth to his mouth with the other. He is unclothed. \\nNumber 13	 
2009.10.2.130	gem cast	Portrait of a woman in profile, wearing a headband and a bow (Artemis)\\nNumber 2	 
2009.10.2.131	gem cast	Woman in profile, holding a bunch of wheat (Demeter)\\nNumber 3	 
2009.10.2.132	gem cast	Woman in profile, holding a bunch of wheat (Demeter)\\nNumber 4	 
2009.10.2.133	gem cast	Woman in profile holding a bunch of wheat (Demeter)\\nNumber 5	 
2009.10.2.134	gem cast	A woman in profile to the left, holding an object (wheat)\\nNumber 6.	 
2009.10.2.135	gem cast	Figure of a woman sitting on a chair, holding 2 stalks of wheat.	 
2009.10.2.136	gem cast	Figure of a woman sitting, a child  is presenting her with wheat. \\nNumber 8.	 
2009.10.2.137	gem cast	Pictures a woman riding a chariot pulled by two lions. She appears to be holding a basket of fruit. There are some figures behind the lions  holding tools. \\nNumber 9.	 
2009.10.2.139	gem cast	Figure of a man driving a chariot, holding a whip and a sceptre, led by four horses.\\nLion pictured underneath.\\nNumber 11.	 
2009.10.2.14	gem cast	figure of a man walking with a staff in one hand and a dead scorpian in the other. \\nNumber 14	 
2009.10.2.140	gem cast	Figure of a woman lying underneath a tree containing large bird. Two male figures stand to the left. \\nNumber 12.	 
2009.10.2.141	gem cast	Portrait of Hermes wearing the winged helmet. \\nNumber 13.	 
2009.10.2.142	gem cast	Portrait of Hermes with the winged Sceptre to his left. \\nNumber 14.	 
2009.10.2.143	gem cast	Portrait in right profile of man in flat helmet (appears to be Hermes).\\nNumber 15.	 
2009.10.2.144	gem cast	Portrait of Hermes with sceptre over his  right shoulder, on his left appears to be a child. \\nNumber 16.	 
2009.10.2.145	gem cast	Figure of Hermes leaning on pillar, holding cloth in right hand and winged sceptre in his left.\\nNumber 17.	 
2009.10.2.146	gem cast	Figure of Hermes holding sceptre upside down in right hand and a reed or feather in this left. A small animal is at his feet.\\nNumber 18.	 
2009.10.2.147	gem cast	Figure of Hermes in winged helmet and sceptre (left hand), pictured with animals including bird, tortoise, goat and scorpian.\\nNumber 19.	 
2009.10.2.148	gem cast	Profile of Hermes pictured with a cloak and sceptre, also a bird and a crab ontop of a pillar.\\nNumber 20.	 
2009.10.2.149	gem cast	Naked figure of Hermes in a cloak with sceptre. On his right the initals M A and on his left G F. \\nNumber 21.	 
2009.10.2.15	gem cast	A man with a tail and a beard, sitting on a pile of stones holding out a bowl. \\nnumber 15	 
2009.10.2.150	gem casts	Naked figure of a man in cloak with sceptre. \\nNumber 22.	 
2009.10.2.151	gem casts	Figure of a cloaked man holding an object in his left hand and wearing a hat.\\nNumber 23	 
2009.10.2.152	Naked figure of a man (possibly Hermes) holding objects (possibly Hermes\\\\\\' helmet and caduceus) with inscription.\\\\nNumber 24 gem casts	 	Naked figure of a man (possibly Hermes) holding objects (possibly Hermes\\' helmet and caduceus) with inscription.\\nNumber 24
2009.10.2.153	gem casts	Naked figure of a man (possibly Hermes) holding objects (possibly Hermes\\' helmet and caduceus; same as 24.\\nNumber 25.	 
2009.10.2.154	gem casts	Naked man with cloak around his shoulders holding object in his left hand.\\nNumber 26.	 
2009.10.2.155	gem casts	Naked Hermes wearing a helmet and winged sandals and holding a caduceus in one hand and another object in his other.\\nNumber 27	 
2009.10.2.156	gem casts	Naked Hermes wearing his winged sandals and his helmet and holding his caduceus.\\nNumber 28	 
2009.10.2.157	gem casts	Cloathed Hermes with caduceus.\\nNumber 29	 
2009.10.2.158	gem casts	Cloaked figure holding some form of rod (possibly a sword) and another object, with a basket at his feet on the left side.\\nNumber 30	 
2009.10.2.159	gem casts	Cloathed man wearing a hat standing next to a post (possibly a tree).\\nNumber 31	 
2009.10.2.16	gem cast	Muscular man with beard (zeus) sitting on a throne holding a large scythe	 
2009.10.2.160	gem casts	Cloathed man with hat standing next to an altar.\\nNumber 32	 
2009.10.2.161	gem casts	Naked Hermes with cloak behind him holding a caduceus and another object and wearing a hat and winged sandals, in a running position.\\nNumber 33	 
2009.10.2.162	gem casts	Standing Hermes wearing a cloak and a hat and holding a caduceus with a baby clinging to him and another figure to his right seated and wearing a cloak.\\nNumber 34	 
2009.10.2.163	gem casts	Hermes with cloak and winged sandals bent over an object	 
2009.10.2.164	gem casts	Hermes with caduceus bent over and carrying objects (possibly a jar).\\nNumber 36	 
2009.10.2.165	gem casts	Hermes wearing cloak and carrying caduceus bent over carrying objects (possibly a jar).\\nNumber 37	 
2009.10.2.166	gem casts	Clothed Hermes carrying a sickle and caduceus and wearing a winged hat and sandals standing near a bull, a bird and a body on the ground (possibly dead).\\nNumber 38	 
2009.10.2.167	gam casts	Naked Hermes with cloak and caduceus. Standing next to seated and cloathed woman.	 
2009.10.2.168	gam casts	Naked Hermes caduceus, he is seated on a sheep.	 
2009.10.2.169	gem casts	Naked Hermes with caduceus lie down on top of the sheep.	 
2009.10.2.17	gem cast	A goat suckling a child (zeus) being watched over by a woman seated and wearing a crown and two large men in capes and hats, holding rocks over the the child. \\nNumber 17.	 
2009.10.2.170	gem casts	Naked and seated Hermes holding caduceus and wearing wing sandals.	 
2009.10.2.171	gem casts	Naked Hermes holding caduceus and laening against farm pioduca.	 
2009.10.2.172	gem casts	Seated Hermes, wearing helmet and holding caduceus with objects around his fees.	 
2009.10.2.173	gem casts	Hermes holding caduceus and sheparding a sheep and woman in the background.	 
2009.10.2.174	gem casts	Hermes with caduceus sheparding for sheep.	 
2009.10.2.175	gem casts	Hermes seated in a chariot, pulled by 2 birds with people bellow.	 
2009.10.2.176	gem casts	Large caduceus with a bir on the left and a scorpion on the right.	 
2009.10.2.177	gem casts	Caduceus with large feathers.	 
2009.10.2.178	gem casts	Sheep with caduceus.	 
2009.10.2.179	gem casts	Bird with a feathre in its mounth standing next to a caduceus.	 
2009.10.2.18	gem cast	Woman in crown sitting on a lion, with Sceptre in left hand and a scroll in right.	 
2009.10.2.180	gem casts	A figure standing at a doorway.	 
2009.10.2.181	gem casts	Group of people possibly collect the hartest.	 
2009.10.2.182	gem casts	3 woman starring on a baby in the floor who is holding staff and is haloed. Roman inscription.	 
2009.10.2.183	gem cast	Left to right: woman seating on a tree, an other one holding a baby on top of a dog and picking something from the tree. Man holding something. Latin insription.	 
2009.10.2.184	gem casts	Human figure.	 
2009.10.2.185	gem casts	Bust of a woman with long hair and wearing a laural wreath.	 
2009.10.2.186	gem casts	Bust of a woman or effeminate man.	 
2009.10.2.187	gem casts	Bust of laughing man possibly a silenus.	 
2009.10.2.188	gem casts	Bust of a laughing man, possibly Silenus.\\nNumber 60	 
2009.10.2.189	gem casts	Bust of a laughing man, possibly Silenus.\\nNumber 61	 
2009.10.2.19	gem cast	Portrait of a woman wearing a crown	 
2009.10.2.190	gem casts	Bust of a laughing man, possibly Silenus.\\nNumber 62	 
2009.10.2.191	gem casts	Bust of a large-breasted woman, possibly laughing.\\nNumber 63	 
2009.10.2.192	gem casts	Bust of a laughing man, possibly Silenus. Number 64	 
2009.10.2.193	gem casts	A naked man holding a staff. Number 65	 
2009.10.2.194	gem casts	A naked soldier with shield and helmet is holding what might be a bunch of grapes over the head of Eros who is attempting to cease them. A deer tugs at the soldier\\'s sheild from behind.\\nNumber 66	 
2009.10.2.195	gem casts	A naked man holding a spear and wearing a cloak stands in a pose.\\nNumber 67	 
2009.10.2.196	gem casts	A naked man with a flowing cloak stands in a pose.\\nNumber 68	 
2009.10.2.197	gem cast	Figure on a chariot being pulled by another male figure with a shepherd\\'s crook, with two sheep one on either side. star in the top centre. \\nNumber 69	 
2009.10.2.199	gem cast	Left profile view of a woman and man, she is wearing a head adornment and he a headband. \\nNumber 71.	 
2009.10.2.2	gem cast	Man in armor sacrificing an animal (a lamb) surrounded by small pictures of a man and woman in profile, other animals including a snake, a crab and a bird. \\nNumber 2.	 
2009.10.2.20	gem cast	Portrait of woman in crown	 
2009.10.2.200	gem cast	Two figures draped with cloth, male and female appear to be dancing he is holding a basket of fruit.\\nNumber 72.	 
2009.10.2.201	gem cast	Naked man and woman ride a lion, they appear to be holding a bow and arrow. there is an inscription beneath.	 
2009.10.2.202	gem cast	Two figures one clothed one naked, pictured with plant.\\nNumber 74.	 
2009.10.2.203	gem cast	a wreath.\\nNumber 75	 
2009.10.2.204	gem cast	Left profile of woman with decorated hair. Inscription beneath.\\nNumber 76.	 
2009.10.2.205	gem cast	Male figure seated holding spear and wearing a wreath, pictured with a child and a dog.\\nNumber 77	 
2009.10.2.206	gem cast	Male figure leaning a lion. holding a spear.\\nNumber 78.	 
2009.10.2.207	gem cast	Female dog lying down.\\nNumber 78.	 
2009.10.2.208	gem cast	Figure of seated woman and satyr, he has his arm around her. \\nNumber 80.	 
2009.10.2.209	gem cast	two male faces, one bearded and one younger. \\nNumber 81	 
2009.10.2.21	gem cast	Portrait of woman wearing crown.\\nNumber 21	 
2009.10.2.210	gem cast	depiction of a man, with a smaller figure  behind his shoulder, a face or a mask in the foreground, on the bottom right. \\nNumber 82.	 
2009.10.2.211	oval	Figure of a naked woman covering her modesty, with a water jug by her legs.\\nNumber 1	 
2009.10.2.212	gem cast	figure of a naked lady from behind, appears to be undressing.\\nNumber 2	 
2009.10.2.213	gem cast	Figure of Aphrodite leaning on a pillar looking round from behind.\\nNumber 3	 
2009.10.2.214	oval	Aphrodite leaning on a wall looking around her shoulder from behind. Cupid is in the left hand corner.\\nNumber 4	 
2009.10.2.215	oval	Figure of Aphrodite from behind, with a cloth draped around her legs. She is holding a pot.\\nNumber 5	 
2009.10.2.216	oval	Figure of aphrodite crouching facing left, holding a cloth above her head with a pot in front of her. \\nNumber 6	 
2009.10.2.217	oval	Figure of Aphrodite crouching to her left with a bowl in front of her.\\nNumber 7	 
2009.10.2.218	gem cast	Nude Aphrodite sitting on a rock washing her hair by a stream.\\nNumber 8	 
2009.10.2.219	gem cast	Nude standing female (? Aphrodite) holding drapery behind her.\\nNumber 9	 
2009.10.2.22	gem cast	Ornate woman sitting on throne wearing crown and holding sceptre . In the background there is a symbol of an S, perhaps delta. \\nNumber 22	 
2009.10.2.220	gem cast	Nude figure of Aphrodite viewed from behind, holding drapery. Winged Eros on her right holding a torch.\\nNumber 10	 
2009.10.2.221	gem cast	Aphrodite semi-nude, holding drapery around her waist, accompanied by winged Eros on her right.\\nNumber 11	 
2009.10.2.222	gem cast	Clothed female figure standing in front of an animal wearing a bridle (possibly a horse or dog)\\nNumber 12	 
2009.10.2.223	gem cast	Standing nude Aphrodite\\nNumber 13	 
2009.10.2.224	gem cast	Standing nude Aphrodite holding her hair\\nNumber 14	 
2009.10.2.225	gem cast	Nude Aphrodite standing, holding her hair and accompanied by winged Eros holding an object\\nNumber 15	 
2009.10.2.226	gem cast	Nude Aphrodite standing, flanked by two winged children holding objects\\nNumber 16	 
2009.10.2.227	gem cast	Nude female figure (? Artemis) leaning on a pillar and holding a bow in her left hand and an arrow in her right hand.\\nNumber 17	 
2009.10.2.228	gem cast	Nude female figure reclining on a couch surrounded by drapery, with an inscription on the couch\\nNumber 18	 
2009.10.2.229	gem cast	Semi-nude female figure seated on a chair with drapery over her lap, holding an object in her right hand.\\nNumber 19	 
2009.10.2.23	gem cast	Portrait of Janus, two headed God. \\nNumber 23	 
2009.10.2.230	gem cast	Semi-nude female figure with drapery around her waist leaning on a pillar holding an object in her right hand\\nNumber 20	 
2009.10.2.231	gem cast	Semi-nude female figure sitting on a rock with drapery around her waist, holding an object.  Accompanied by two winged children and a basket\\nNumber 21	 
2009.10.2.232	gem cast	Semi-nude female figure with drapery around her waist, seated on a rock with a basket and two winged children, holding a ? fishing rod in her right hand with an inscription\\nNumber 22	 
2009.10.2.233	gem cast	Kneeling Aphrodite accompanied by winged Eros\\nNumber 23	 
2009.10.2.234	gem cast	Nude female (? Aphrodite) ciewed from behind, leaning on a shield covered in drapery with a spear leaning on her left shoulder holding an object in her right hand. Accompanied by winged Eros handing her a helmet\\nNumber 24	 
2009.10.2.235	gem cast	Nude female figure with drapery over her shoulders, holding an arrow in her right hand, accompanied by winged Eros and an animal, possibly standing on a snake\\nNumber 25	 
2009.10.2.236	gem cast	Walking female figure with flowing drapery carrying plants, accompanied by winged child carrying a ?spear and another object\\nNumber 26	 
2009.10.2.237	gem cast	Female figure holding a branch in her right hand, accompanied by a winged child holding an object\\nNumber 27	 
